acct_id,agent_id,div_code,division,curr_meter_read_remark,prev_meter_read_remark,prev_bill_basis
5941517000,PUFGL00760,DIV475812,RDF,OK,MU,
5941945521,PUFGL00894,DIV475611,RDF ,RDF,ASS,
5944354000,PUFGL00701,DIV475811,IDF,IDF,ASS,
5944634656,FGLTD03390,DIV475811,IDF ,IDF,ASS,
5945908000,FGLTD02672,DIV475813,RDF ,RDF,ASS,
5945956000,FGLTD03316,DIV475932,RDF ,RDF,ASS,
5946236000,PUFGL00848,DIV475814,RDF ,P,PROV,
5946618000,PUFGL00744,DIV475812,RDF ,RDF,ASS,
5947084774,FGLTD02943,DIV475812,IDF ,IDF,ASS,
5947248216,PUFGL00366,DIV435722,RDF ,OK,MU,
5947476000,FGLTD03004,DIV475812,IDF ,IDF,ASS,
5948577000,FGLTD03220,DIV475613,RDF,P,PROV,
5948626000,PUFGL00328,DIV435721,IDF,IDF,ASS,
5949007000,PUFGL00539,DIV475934,RDF ,RDF,ASS,
5950239622,FGLTD02667,DIV475813,IDF ,IDF,ASS,
5951121694,FGLTD03292,DIV475814,RDF ,OK,MU,
5951857000,PUFGL00777,DIV475812,RDF ,P,PROV,
5952385000,PUFGL00543,DIV475934,RDF ,RDF,ASS,
5952630522,PUFGL00674,DIV475811,RDF ,RDF,ASS,
5953173626,PUFGL00530,DIV475934,RDF ,RDF,ASS,
5954585000,FGLTD01966,DIV475812,RDF ,RDF,ASS,
5956275000,FGLTD01998,DIV475935,RDF ,RDF,ASS,
5957065000,PUFGL00259,DIV435733,IDF ,IDF,ASS,
5957587000,FGLTD03390,DIV475811,IDF ,IDF,ASS,
5958324143,PUFGL01054,DIV475613,RDF ,RDF,ASS,
5958675000,PUFGL00728,DIV475812,RDF ,RDF,ASS,
5959875000,PUFGL00246,DIV435733,RDF ,BR,MU,
5960346000,PUFGL00922,DIV475612,RDF ,OK,MU,
5960596000,PUFGL00687,DIV475811,IDF ,IDF,ASS,
5961866000,FGLTD03155,DIV475613,RDF ,OK,MU,
5962089471,FGLTD02580,DIV435713,RDF ,P,PROV,
5962582622,FGLTD02414,DIV475614,RDF ,RDF,ASS,
5962675000,FGLTD02471,DIV475814,IDF ,IDF,ASS,
5963875000,PUFGL01100,DIV475614,RDF ,P,PROV,
5964097000,PUFGL00566,DIV475934,RDF ,RDF,ASS,
5964346109,PUFGL00561,DIV475934,RDF ,RDF,ASS,
5964585000,PUFGL00252,DIV435733,RDF ,RDF,ASS,
5965216448,PUFGL00193,DIV435731,RDF ,P,PROV,
5965227000,PUFGL00853,DIV475814,IDF ,IDF,ASS,
5965457000,FGLTD01661,DIV475814,IDF ,IDF,ASS,
