div_code,agent_id,latitude,longitude,total_bills
DIV475614,FGLTD01744,27.2281901,83.6661606,23
DIV475614,FGLTD01744,27.2283475,83.6659743,22
DIV475614,FGLTD01744,27.2280931,83.6660315,19
DIV475614,FGLTD01744,27.2281097,83.6659779,19
DIV475614,FGLTD01744,27.2281626,83.6659075,18
DIV475614,FGLTD01744,27.2277055,83.6659638,18
DIV475614,FGLTD01744,27.2281979,83.665914,15
DIV475614,FGLTD01744,27.2276813,83.6658569,14
DIV475614,FGLTD01744,27.2281059,83.6660131,12
DIV475614,FGLTD01744,27.2282914,83.6657129,11
DIV475614,FGLTD01744,27.225815,83.716217,11
DIV475614,FGLTD02356,27.2988165,83.7372845,111
DIV475614,FGLTD02356,27.3132498,83.6894412,65
DIV475614,FGLTD02356,27.3021758,83.7265378,56
DIV475614,FGLTD02356,27.3001414,83.7138136,15
DIV475614,FGLTD02356,27.2991582,83.7149631,14
DIV475614,FGLTD02356,27.2993964,83.6757043,13
DIV475614,FGLTD02356,27.2948136,83.6628403,12
DIV475614,FGLTD02356,27.29811,83.7331431,12
DIV475614,FGLTD02414,27.421177,83.6246635,99
DIV475614,FGLTD02414,27.4023773,83.6333985,74
DIV475614,FGLTD02414,27.4026482,83.6346135,48
DIV475614,FGLTD02414,27.3997842,83.6101165,39
DIV475614,FGLTD02414,27.407385,83.6195593,31
DIV475614,FGLTD02414,27.4013131,83.6118963,26
DIV475614,FGLTD02414,27.4146823,83.6230436,19
DIV475614,FGLTD02414,27.4054849,83.6150074,14
DIV475614,FGLTD02414,27.4013225,83.6118622,11
DIV475614,FGLTD02414,27.1020184,84.4693306,11
DIV475614,FGLTD02414,27.4212791,83.6246069,11
DIV475614,FGLTD02414,27.4212896,83.6246117,11
DIV475614,FGLTD02414,27.423576,83.6253703,10
DIV475614,FGLTD02974,27.1352852,83.6564064,34
DIV475614,FGLTD02974,27.1832977,83.6899814,11
DIV475614,FGLTD03327,27.2585601,83.6175393,63
DIV475614,FGLTD03327,27.2351881,83.6327425,63
DIV475614,FGLTD03327,27.2397152,83.6309827,55
DIV475614,FGLTD03327,27.2405789,83.6327238,51
DIV475614,FGLTD03327,27.2399343,83.6314633,38
DIV475614,FGLTD03327,27.2452079,83.6396105,36
DIV475614,FGLTD03327,27.2383746,83.6329464,36
DIV475614,FGLTD03327,27.2353122,83.6324671,33
DIV475614,FGLTD03327,27.2446494,83.6319416,31
DIV475614,FGLTD03327,27.249447,83.6321544,29
DIV475614,FGLTD03327,27.238375,83.6329462,27
DIV475614,FGLTD03327,27.2380423,83.6329832,27
DIV475614,FGLTD03327,27.2398023,83.6316909,19
DIV475614,FGLTD03327,27.2394036,83.6328543,18
DIV475614,FGLTD03327,27.2397894,83.6324648,16
DIV475614,FGLTD03327,27.2398284,83.6324423,15
DIV475614,FGLTD03327,27.2397667,83.6323767,14
DIV475614,FGLTD03327,27.2397268,83.6323468,13
DIV475614,FGLTD03327,27.2397153,83.6309827,13
DIV475614,FGLTD03327,27.2331187,83.6320116,13
DIV475614,FGLTD03327,27.2383747,83.6329466,10
DIV475614,PUFGL01085,27.1386051,83.7823219,67
DIV475614,PUFGL01085,27.1784483,83.7622667,20
DIV475614,PUFGL01085,27.1943883,83.766205,12
DIV475614,PUFGL01087,27.1494883,83.7625433,13
DIV475614,PUFGL01087,27.1879672,83.7691536,10
DIV475614,PUFGL01088,27.299773,83.6793723,128
DIV475614,PUFGL01088,27.3094431,83.7203591,109
DIV475614,PUFGL01088,27.3000187,83.6766908,102
DIV475614,PUFGL01088,27.2963709,83.6453068,68
DIV475614,PUFGL01088,27.2965177,83.6453323,48
DIV475614,PUFGL01088,27.2962263,83.645994,38
DIV475614,PUFGL01088,27.2994824,83.6729537,25
DIV475614,PUFGL01088,27.3006693,83.6704732,13
DIV475614,PUFGL01088,27.3233669,83.7348827,11
DIV475614,PUFGL01094,27.2282068,83.665874,72
DIV475614,PUFGL01094,27.2281256,83.6659106,68
